month,Segment,monthly_revenue
2009-12,Champions,123710.97
2009-12,Churned,110811.68
2009-12,Loyal Customers,378258.84
2009-12,VIP / Wholesale,73872.67
2010-01,Champions,87389.43
2010-01,Churned,91111.0
2010-01,Loyal Customers,247833.76
2010-01,VIP / Wholesale,130984.87
2010-02,Champions,72451.92
2010-02,Churned,113108.22
2010-02,Loyal Customers,260336.6
2010-02,VIP / Wholesale,60474.32
2010-03,Champions,100383.47
2010-03,Churned,152765.27
2010-03,Loyal Customers,379543.19
2010-03,VIP / Wholesale,66917.06
2010-04,Champions,82784.48
2010-04,Churned,114535.45
2010-04,Loyal Customers,357734.0
2010-04,VIP / Wholesale,39555.26
2010-05,Champions,86282.38
2010-05,Churned,100119.84
2010-05,Loyal Customers,363959.41
2010-05,VIP / Wholesale,49624.16
2010-06,Champions,77183.0
2010-06,Churned,94215.9
2010-06,Loyal Customers,405765.7
2010-06,VIP / Wholesale,61901.98
2010-07,Champions,77078.82
2010-07,Churned,82271.08
2010-07,Loyal Customers,345172.84
2010-07,VIP / Wholesale,87114.0
2010-08,Champions,71691.75
2010-08,Churned,64521.91
2010-08,Loyal Customers,376228.96
2010-08,VIP / Wholesale,91800.03
2010-09,Champions,139227.03
2010-09,Churned,126101.17
2010-09,Loyal Customers,487340.68
2010-09,VIP / Wholesale,78946.12
2010-10,Champions,140197.12
2010-10,Churned,154267.42
2010-10,Loyal Customers,651661.76
2010-10,VIP / Wholesale,90553.7
2010-11,Champions,175764.86
2010-11,Churned,139840.13
2010-11,Loyal Customers,774768.45
2010-11,VIP / Wholesale,81962.6
2010-12,Champions,170858.75
2010-12,Churned,67915.13
2010-12,Loyal Customers,568762.99
2010-12,VIP / Wholesale,77055.02
2011-01,Champions,86202.89
2011-01,Churned,38984.32
2011-01,Loyal Customers,395876.96
2011-01,VIP / Wholesale,48380.87
2011-02,Champions,81148.31
2011-02,Churned,37438.21
2011-02,Loyal Customers,285091.37
2011-02,VIP / Wholesale,43459.46
2011-03,Champions,112037.28
2011-03,Churned,40046.52
2011-03,Loyal Customers,394848.44
2011-03,VIP / Wholesale,48568.52
2011-04,Champions,61066.32
2011-04,Churned,905.15
2011-04,Loyal Customers,395484.87
2011-04,VIP / Wholesale,11744.02
2011-05,Champions,119087.01
2011-05,Loyal Customers,498084.81
2011-05,VIP / Wholesale,61422.74
2011-06,Champions,112556.24
2011-06,Loyal Customers,461573.03
2011-06,VIP / Wholesale,87084.42
2011-07,Champions,94819.57
2011-07,Loyal Customers,442367.09
2011-07,VIP / Wholesale,62904.35
2011-08,Champions,145670.12
2011-08,Loyal Customers,441392.67
2011-08,VIP / Wholesale,58281.11
2011-09,Champions,167324.25
2011-09,Loyal Customers,668145.76
2011-09,VIP / Wholesale,117368.37
2011-10,Champions,137091.68
2011-10,Loyal Customers,785231.97
2011-10,VIP / Wholesale,116995.14
2011-11,Champions,159957.49
2011-11,Loyal Customers,931679.99
2011-11,VIP / Wholesale,70179.9
2011-12,Champions,226047.65
2011-12,Loyal Customers,261970.66
2011-12,VIP / Wholesale,30192.48
